id,target,gold_source,predicted_rank_1,gold_rank,top_k_sources,top_k_scores
210,Westernization Movement,Reform Movement of 1898,New Culture Movement,3,"['New Culture Movement', 'Enlightenment', 'Reform Movement of 1898', 'marriage', 'education', 'The Second Industrial Revolution', 'The French Revolution', 'Democratic Centralism in China', 'Population Movement', 'Revolution of 1911']","[0.503498767621821, 0.4292722287846068, 0.41387844956917785, 0.3723968004632593, 0.3597020252001739, 0.35409360374488047, 0.34925795217492184, 0.3471997117398398, 0.3388380193375321, 0.32646544709490766]"
281,household,government,house,-1,"['house', 'Houses', 'family', 'Families', 'Rental Housing', 'marriage', 'Occupation', 'society', 'Human Relationships', 'Building']","[0.6551579720260089, 0.6550604435630902, 0.541151974937822, 0.5395288121486433, 0.49871026961380543, 0.41012527234293283, 0.40951219940364925, 0.3851123995057656, 0.38264074288117844, 0.37779415701171815]"
34,Cell division,the replicator,life,-1,"['life', 'Biological Evolution', 'Evolution', 'bacterial mutation', 'Plants', 'natural selection', 'Healing', 'Diseases', 'respiration', 'Chemical Reactions']","[0.44355404711913804, 0.43193006278470975, 0.42937343616443957, 0.40339689390029054, 0.388429530033968, 0.37412159878042095, 0.3582860272470394, 0.3483486204127765, 0.3453208425223758, 0.3366108751090731]"
211,Westernization Movement,The Revolution of 1911,New Culture Movement,-1,"['New Culture Movement', 'Enlightenment', 'marriage', 'The French Revolution', 'education', 'Population Movement', 'The Second Industrial Revolution', 'Reform Movement of 1898', 'Wave Propagation', 'Water Wave Propagation']","[0.43366950434254387, 0.4168434537602556, 0.3779920949966299, 0.3636184979615462, 0.3569095430396778, 0.3448055636168163, 0.34417184147369373, 0.3413047444319651, 0.3338289017212813, 0.33326697653479737]"
94,Electrochemical Reaction,Power Generation,Chemical Reactions,5,"['Chemical Reactions', 'Circuits', 'heat transfer', 'Reactor', 'Power Generation', 'electromagnetic emission system', 'engine', 'Electronic Signal Transmission', 'Circuit Malfunction', 'heat']","[0.6378162892290469, 0.48282967149636824, 0.39780581713761204, 0.39125478039108985, 0.39117192000948064, 0.3790045039101544, 0.37706490032492, 0.3726991788868727, 0.36802311625744655, 0.3587201480302199]"
85,Limit Modification System,Firewall,bacterial mutation,-1,"['bacterial mutation', 'code', 'Deciphering the Code', 'Disassembly', 'Building Repair', 'Skin System', 'Circuit Malfunction', 'Immunity', 'natural selection', 'Evolution']","[0.4423984365251556, 0.3081687674274385, 0.3047378832096378, 0.30178497528648024, 0.300949605487718, 0.29846379067760065, 0.2966241526168552, 0.295459352747238, 0.2942123647859305, 0.2858877085243943]"
330,Article,River,Typo,-1,"['Typo', 'edit', 'argument', 'idea', 'book', 'atom', 'Printers', 'Manual', 'camera', 'Car']","[0.4569619585294181, 0.3814230455696386, 0.3774785201102018, 0.3607188562211044, 0.35478682160334374, 0.3535619547396226, 0.3432924689604596, 0.33485569104968227, 0.3324124697659402, 0.3318210749991478]"
95,Crystals,Architecture,Molecular Symmetry,-1,"['Molecular Symmetry', 'atom', 'Plants', 'Mirrors', 'Chemical Reactions', 'Ice Cream', 'crime', 'Circuits', 'gas molecules', 'The Puzzle']","[0.38109407595408834, 0.3411194235045281, 0.3338704706338931, 0.3250139610769337, 0.3247645107018259, 0.3198896754757691, 0.31814761790952856, 0.31745587111803547, 0.31545925383230083, 0.3135112756099069]"
267,money,time,money,3,"['money', 'Financial Markets', 'time', 'Music', 'Financial Equilibrium', 'mind', 'Mail', 'Machines', 'Math', 'Financial Balance']","[0.817460481503943, 0.44476767311664567, 0.43927063286943013, 0.4210221138971977, 0.405528894125673, 0.39681650713226474, 0.38946969159904044, 0.37882525041991544, 0.37240454668482864, 0.3596409019777934]"
127,Deep Learning,The Brain,Neural Networks,-1,"['Neural Networks', 'The Neural Network of Computers', 'Deafness', 'The Law of Means', 'A Distributed Computing System', 'Disassembly', '3D Projection', 'Finding Nearest Neighbors', 'Math', 'Drawing']","[0.5781732139965943, 0.5086617995589087, 0.35378799660475424, 0.33986067446300783, 0.3073188717293923, 0.30578891007580494, 0.30536905002198567, 0.3043688481845622, 0.30282197836384184, 0.30070774415192825]"
