model,mode,Hit@1 (Exact),Hit@3 (Exact),Hit@5 (Exact),Hit@10 (Exact),Hit@20 (Exact),Hit@1 (Sem),Hit@3 (Sem),Hit@5 (Sem),Hit@10 (Sem),Hit@20 (Sem),Judge Avg (Baseline),Coherence (Baseline),Mapping (Baseline),Explanatory (Baseline),Judge Avg (Embedding),Coherence (Embedding),Mapping (Embedding),Explanatory (Embedding),Top1 Embedding Score,Exact Match Rate,Sem Match Rate,N
deepseek-r1,targetonly,7.476635514018691,10.2803738317757,11.526479750778815,14.330218068535824,17.133956386292834,15.264797507788161,23.05295950155763,25.85669781931464,30.218068535825545,38.940809968847354,2.69595015576324,2.8940809968847354,2.5950155763239877,2.601246105919003,2.470373831775701,2.716510903426791,2.3551401869158877,2.3426791277258565,0.4231507788161994,17.133956386292834,38.940809968847354,321.0
deepseek-r1,withsub,9.657320872274143,13.084112149532709,15.887850467289718,19.937694704049843,24.299065420560748,18.69158878504673,27.725856697819314,32.087227414330215,40.809968847352025,48.598130841121495,2.675264797507788,2.8629283489096573,2.5794392523364484,2.5856697819314642,2.441557632398754,2.635514018691589,2.3457943925233646,2.3457943925233646,0.488631152647975,24.299065420560748,48.598130841121495,321.0
gemini-2.5-flash-lite,targetonly,7.165109034267912,10.59190031152648,13.084112149532709,18.06853582554517,21.806853582554517,15.887850467289718,26.791277258566975,33.021806853582554,42.05607476635514,49.84423676012461,2.6899065420560744,2.8753894080996885,2.5981308411214954,2.5981308411214954,2.3825233644859813,2.588785046728972,2.3208722741433023,2.2398753894080996,0.5071601246105919,21.806853582554517,49.84423676012461,321.0
gemini-2.5-flash-lite,withsub,7.476635514018691,11.838006230529595,17.75700934579439,21.49532710280374,25.85669781931464,19.003115264797508,31.464174454828658,40.18691588785047,47.66355140186916,53.271028037383175,2.6711838006230533,2.866043613707165,2.5763239875389408,2.573208722741433,2.3919937694704045,2.5950155763239877,2.3333333333333335,2.249221183800623,0.5574947040498442,25.85669781931464,53.271028037383175,321.0
gpt-4.1-mini,targetonly,8.722741433021806,13.707165109034266,17.75700934579439,20.24922118380062,23.67601246105919,14.018691588785046,24.610591900311526,29.595015576323984,34.890965732087224,42.05607476635514,2.6366355140186917,2.856697819314642,2.520249221183801,2.5358255451713396,2.292056074766355,2.545171339563863,2.1931464174454827,2.1401869158878504,0.47491806853582547,23.67601246105919,42.05607476635514,321.0
gpt-4.1-mini,withsub,9.345794392523365,13.395638629283487,16.510903426791277,21.49532710280374,26.791277258566975,16.1993769470405,24.922118380062305,29.283489096573206,39.25233644859813,43.613707165109034,2.6327102803738316,2.8286604361370715,2.529595015576324,2.542056074766355,2.345202492211838,2.542056074766355,2.2741433021806854,2.221183800623053,0.5182878504672898,26.791277258566975,43.613707165109034,321.0
gpt-4.1-nano,targetonly,8.09968847352025,15.57632398753894,17.133956386292834,21.18380062305296,23.364485981308412,14.018691588785046,25.54517133956386,28.34890965732087,36.13707165109034,42.05607476635514,2.4799065420560744,2.7009345794392523,2.3862928348909658,2.3551401869158877,2.1977258566978195,2.4361370716510904,2.1059190031152646,2.0529595015576323,0.4940669781931465,23.364485981308412,42.05607476635514,321.0
gpt-4.1-nano,withsub,9.968847352024921,18.38006230529595,19.937694704049843,24.299065420560748,25.85669781931464,16.1993769470405,28.66043613707165,32.087227414330215,39.25233644859813,42.679127725856695,2.4946105919003116,2.694704049844237,2.398753894080997,2.392523364485981,2.175856697819315,2.3894080996884735,2.1059190031152646,2.034267912772586,0.5401591900311526,25.85669781931464,42.679127725856695,321.0
gpt-oss-120b,targetonly,6.5420560747663545,12.461059190031152,13.084112149532709,17.75700934579439,19.937694704049843,14.641744548286603,26.168224299065418,28.34890965732087,37.38317757009346,44.54828660436137,2.6409657320872273,2.8193146417445485,2.5482866043613708,2.5576323987538943,2.379221183800623,2.5763239875389408,2.29595015576324,2.2679127725856696,0.4644554517133956,19.937694704049843,44.54828660436137,321.0
gpt-oss-120b,withsub,7.78816199376947,12.77258566978193,15.264797507788161,17.75700934579439,20.24922118380062,19.626168224299064,29.906542056074763,32.398753894081,42.05607476635514,51.4018691588785,2.6586292834890966,2.844236760124611,2.5638629283489096,2.5700934579439254,2.405233644859813,2.5950155763239877,2.32398753894081,2.2990654205607477,0.5172619937694704,20.24922118380062,51.4018691588785,321.0
gpt-oss-20b,targetonly,4.672897196261682,7.78816199376947,10.2803738317757,14.641744548286603,17.133956386292834,11.838006230529595,20.5607476635514,24.299065420560748,33.021806853582554,39.56386292834891,2.5506542056074766,2.735202492211838,2.470404984423676,2.4485981308411215,2.3233333333333333,2.5109034267912773,2.249221183800623,2.2118380062305296,0.4671604361370717,17.133956386292834,39.56386292834891,321.0
gpt-oss-20b,withsub,5.919003115264798,9.657320872274143,12.461059190031152,14.953271028037381,18.69158878504673,14.641744548286603,24.610591900311526,32.398753894081,39.56386292834891,47.0404984423676,2.506884735202492,2.710280373831776,2.4049844236760123,2.4080996884735204,2.3150467289719625,2.5109034267912773,2.249221183800623,2.1869158878504673,0.5279314641744548,18.69158878504673,47.0404984423676,321.0
grok-4-fast,targetonly,7.78816199376947,12.461059190031152,14.953271028037381,18.06853582554517,22.118380062305295,18.06853582554517,27.725856697819314,33.64485981308411,39.25233644859813,47.66355140186916,2.6709968847352026,2.8816199376947043,2.5700934579439254,2.5638629283489096,2.43196261682243,2.6853582554517135,2.3146417445482865,2.2990654205607477,0.4517190031152648,22.118380062305295,47.66355140186916,321.0
grok-4-fast,withsub,7.476635514018691,10.903426791277258,17.445482866043612,19.314641744548286,21.806853582554517,18.69158878504673,31.464174454828658,38.62928348909657,44.85981308411215,50.155763239875384,2.6002803738317755,2.8161993769470404,2.4953271028037385,2.4922118380062304,2.396915887850467,2.5950155763239877,2.308411214953271,2.289719626168224,0.5136202492211838,21.806853582554517,50.155763239875384,321.0
llama-3.1-405b-instruct,targetonly,10.59190031152648,14.641744548286603,17.75700934579439,21.49532710280374,23.98753894080997,20.5607476635514,31.464174454828658,38.940809968847354,42.99065420560748,47.0404984423676,2.6533021806853583,2.869158878504673,2.542056074766355,2.5514018691588785,2.3938006230529596,2.616822429906542,2.29595015576324,2.2710280373831777,0.5029747663551403,23.98753894080997,47.0404984423676,321.0
llama-3.1-405b-instruct,withsub,9.968847352024921,14.953271028037381,18.06853582554517,22.741433021806852,25.233644859813083,20.87227414330218,34.26791277258567,39.875389408099686,46.41744548286604,51.71339563862928,2.624205607476635,2.8411214953271027,2.5077881619937696,2.526479750778816,2.385514018691589,2.588785046728972,2.305295950155763,2.264797507788162,0.5375900311526479,25.233644859813083,51.71339563862928,321.0
meta-llama-3-1-70b-instruct,targetonly,11.214953271028037,15.57632398753894,19.314641744548286,22.741433021806852,23.67601246105919,20.24922118380062,29.595015576323984,35.51401869158878,42.679127725856695,45.794392523364486,2.6200934579439252,2.850467289719626,2.5046728971962615,2.5077881619937696,2.389595015576324,2.616822429906542,2.289719626168224,2.264797507788162,0.4894205607476635,23.67601246105919,45.794392523364486,321.0
meta-llama-3-1-70b-instruct,withsub,9.968847352024921,13.395638629283487,16.1993769470405,19.937694704049843,22.118380062305295,22.118380062305295,32.71028037383177,37.69470404984423,45.17133956386293,50.155763239875384,2.5754828660436138,2.781931464174455,2.470404984423676,2.4766355140186915,2.3543613707165107,2.5482866043613708,2.277258566978193,2.2398753894080996,0.5333345794392523,22.118380062305295,50.155763239875384,321.0
meta-llama-3-1-8b-instruct,targetonly,7.78816199376947,11.214953271028037,11.526479750778815,14.953271028037381,18.06853582554517,15.887850467289718,24.299065420560748,27.41433021806853,32.087227414330215,38.940809968847354,2.4779127725856696,2.6978193146417446,2.383177570093458,2.3551401869158877,2.175856697819315,2.4236760124610592,2.1121495327102804,1.9937694704049844,0.5820844236760124,18.06853582554517,38.940809968847354,321.0
meta-llama-3-1-8b-instruct,withsub,8.411214953271028,14.330218068535824,15.264797507788161,16.510903426791277,17.445482866043612,17.445482866043612,26.168224299065418,30.529595015576323,34.57943925233645,37.38317757009346,2.457227414330218,2.660436137071651,2.364485981308411,2.3489096573208723,2.2082242990654204,2.383177570093458,2.161993769470405,2.0809968847352023,0.6082925233644859,17.445482866043612,37.38317757009346,321.0
qwen3-14b,targetonly,9.034267912772584,11.838006230529595,13.084112149532709,16.822429906542055,19.937694704049843,18.69158878504673,26.168224299065418,30.218068535825545,36.44859813084112,45.17133956386293,2.6295015576323983,2.8286604361370715,2.532710280373832,2.529595015576324,2.374267912772585,2.5794392523364484,2.292834890965732,2.2523364485981308,0.4734803738317757,19.937694704049843,45.17133956386293,321.0
qwen3-14b,withsub,8.09968847352025,10.903426791277258,13.707165109034266,17.445482866043612,22.429906542056074,18.06853582554517,27.725856697819314,33.95638629283489,41.74454828660436,48.598130841121495,2.5714018691588785,2.763239875389408,2.4828660436137073,2.470404984423676,2.2757320872274143,2.439252336448598,2.2149532710280373,2.174454828660436,0.5311831775700934,22.429906542056074,48.598130841121495,321.0
qwen3-32b,targetonly,6.853582554517133,10.903426791277258,13.707165109034266,17.445482866043612,22.118380062305295,15.264797507788161,24.299065420560748,30.8411214953271,39.875389408099686,47.66355140186916,2.650342679127726,2.8348909657320873,2.554517133956386,2.5638629283489096,2.3742990654205607,2.5919003115264796,2.311526479750779,2.221183800623053,0.49604049844236753,22.118380062305295,47.66355140186916,321.0
qwen3-32b,withsub,7.476635514018691,11.526479750778815,14.330218068535824,18.69158878504673,22.741433021806852,16.822429906542055,26.168224299065418,33.021806853582554,42.36760124610592,50.77881619937694,2.610872274143302,2.809968847352025,2.5171339563862927,2.5077881619937696,2.31190031152648,2.5109034267912773,2.2429906542056073,2.1838006230529596,0.5497339563862929,22.741433021806852,50.77881619937694,321.0
